List of Items,,,,,
Name,Sale Price-B,Sale Price,Description 1,Alias,Print Name
105MM Hob Burner Set,775.00,725.00,152625,,105MM Hob Burner Set
10Kg 1mm Copper Roll 100ft,8100.00,7700.00,934000,,10Kg 1mm Copper Roll 100ft
10Kg Copper Roll 100ft,7100.00,6700.00,929000,,10Kg Copper Roll 100ft
10x27x9 Ms Bhati L,0.00,1450.00,,,10x27x9 Ms Bhati L
11Kg Copper Roll 100ft,8100.00,7700.00,934000,,11Kg Copper Roll 100ft
12 Inch Sealing Machine Pati,22.00,20.00,,12 Sm Pati,12 Inch Sealing Machine Pati
12 mtr Lpg Hose ms,660.00,600.00,,,12 mtr Lpg Hose ms
12 mtr Lpg hose vansh,780.00,720.00,,,12 mtr Lpg hose vansh
12*12 MS Bhatti Only,500.00,480.00,,12*12 Bhatti Only,12*12 MS Bhatti Only
12*12 MS Bhatti Set,950.00,900.00,,,12*12 MS Bhatti Set
12*12 Ss Bhati Burner Only,90.00,85.00,,,12*12 Ss Bhati Burner Only
12*12 SS Bhatti Set,1100.00,1080.00,,,12*12 SS Bhatti Set
12*12 Ss Round Bhati Only,950.00,900.00,,12x12 Ss Round Frame,12*12 Ss Round Bhati Only
12*12 Ss Round Bhati Set,1150.00,1100.00,,,12*12 Ss Round Bhati Set
12*12 Ss Square Bhati Only,900.00,850.00,,12x12 Ss Squr Frame,12*12 Ss Square Bhati Only
12*36 Bhatti Set,1850.00,1800.00,,,12*36 Bhatti Set
12*36 MS Bhatti Only,1200.00,1150.00,,12*36 Bhatti Only,12*36 MS Bhatti Only
1200w A Grade Motor,1050.00,1000.00,,,1200w A Grade Motor
120gm Silver Wet Jar,230.00,220.00,,Mr Silver Wet Jar,120gm Silver Wet Jar
1212 msp bush,60.00,55.00,,1212 25mm msp bush,1212 25mm msp bush
125MM Hob Burner cap,200.00,150.00,15450,,125MM Hob Burner cap
125MM Hob Burner Ring,300.00,250.00,15750,,125MM Hob Burner Ring
125MM Hob Burner Set,775.00,725.00,152625,,125MM Hob Burner Set
12Kg Copper Roll 100ft,9100.00,8700.00,939000,,12Kg Copper Roll 100ft
130MM Hob Burner cap,200.00,150.00,15450,,130MM Hob Burner cap
130MM Hob Burner Ring,300.00,250.00,15750,,130MM Hob Burner Ring
130MM Hob Burner Set,800.00,750.00,152750,,130MM Hob Burner Set
1313 msp bush,50.00,47.00,,,1313 msp bush
1313 Nikam Bush,38.00,35.00,,,1313 Nikam Bush
1313 rg bush,30.00,27.00,,1313 real gold bush,1313 real gold bush
1313 spl bush,39.00,34.00,,,1313 spl bush
13Kg Copper Roll 100ft,10100.00,9700.00,944000,,13Kg Copper Roll 100ft
1408 b bush,23.00,21.00,,maharaja 1408 big bush,maharaja 1408 big bush
1408 s bush,22.00,20.00,,maharaja 1408 small bush,maharaja 1408 small bush
14Kg Copper Roll 100ft,11100.00,10700.00,949000,,14Kg Copper Roll 100ft
14mm HF valve,60.00,58.00,,,14mm HF valve
14mm Refiller,65.00,58.00,,,14mm Refiller
14mm Socket,65.00,60.00,,,14mm Socket
14mm Valve L,40.00,38.00,,,14mm Valve L
15 * 15 Ms Bhatt Frame Only,550.00,520.00,,15x15 Ms Frame,15 * 15 Ms Bhatt Frame Only
15 Mtr LPG Hose Pipe Vansh,975.00,825.00,,,15 Mtr LPG Hose Pipe Vansh
15*15 MS Bhatti Only,550.00,530.00,,15*15 Bhatti Only,15*15 MS Bhatti Only
15*15 MS Bhatti Set,1000.00,950.00,,,15*15 MS Bhatti Set
15*15 Ss Bhati Set,1750.00,1700.00,,,15*15 Ss Bhati Set
15*15 Ss Square Bhati Only,0.00,1570.00,,15x15 Ss Squr Frame,15*15 Ss Square Bhati Only
15*48 Bhatti Set,2250.00,2200.00,,,15*48 Bhatti Set
15*48 MS Bhatti Only,1550.00,1500.00,,15*48 Bhatti Only,15*48 MS Bhatti Only
1500w A Grade Motor,1200.00,1100.00,,,1500w A Grade Motor
15x15 Ms Bathi L Set,0.00,850.00,,,15x15 Ms Bathi L Set
15X48 Bhatti Frame Only,1600.00,1450.00,,,15X48 Bhatti Frame Only
1616 msp bush,60.00,55.00,,,1616 msp bush
1616 spl bush,42.00,38.00,,,1616 spl bush
16mm HF Valve,60.00,58.00,,5kg Valve H,16mm HF Valve
16mm Refiller,65.00,58.00,,,16mm Refiller
16mm Socket,65.00,60.00,,,16mm Socket
16mm Valve L,40.00,38.00,,,16mm Valve L
170 socket gasket KL,8.00,7.00,,,170 socket gasket KL
1ft Copper Pipe,75.00,72.00,,,1ft Copper Pipe
1ft MS Pipe,0.00,25.00,,,1ft MS Pipe
1ltr Me Dry Jar,200.00,185.00,,,1ltr Me Dry Jar
2 Feet Dosa Burner Challengher,630.00,600.00,,2 Ft Rv Burner,2 Feet Dosa Burner Challengher
2 ft BPBP Srk brass nut,70.00,65.00,,,2 ft BPBP Srk brass nut
2 ft BPBP Srk ms nut,60.00,55.00,,,2 ft BPBP Srk ms nut
2 ft BPCP Srk brass nut,82.00,77.00,,,2 ft BPCP Srk brass nut
2 ft Copper Pipe,113.00,108.00,,,2 ft Copper Pipe
2 ft CPCP Srk brass nut,95.00,89.00,,,2 ft CPCP Srk brass nut
2 ft flx BPBP brass nut,81.00,79.00,,2 ft flexable BPBP brass nut,2 ft flexable BPBP brass nut
2 ft Gsr pipe,60.00,55.00,35215,2 ft Geyser pipe,2 ft Geyser pipe
2 ft Gsr pipe H,74.00,72.00,35295,2 ft Geyser pipe H,2 ft Geyser pipe H
2 ft hy blk BPBP,117.00,109.00,,2 ft Hydrolic black BPBP,2 ft Hydrolic black BPBP
2 ft hy blk BPCP,129.00,121.00,,2 ft hydrolic black BPCP,2 ft hydrolic black BPCP
2 ft hy blk CPCP,141.00,133.00,,2 ft hydrolic black CPCP,2 ft hydrolic black CPCP
2 ft hy o BPBP,117.00,109.00,,2 ft Hydrolic orange BPBP,2 ft Hydrolic orange BPBP
2 ft hy o BPCP,129.00,121.00,,2 ft hydrolic orange BPCP,2 ft hydrolic orange BPCP
2 ft hy o CPCP,141.00,133.00,,2 ft hydrolic orange CPCP,2 ft hydrolic orange CPCP
2 ft MS Pipe,40.00,38.00,,,2 ft MS Pipe
2 Inch 50meter Tap Roll Box,1550.00,1450.00,,,2 Inch 50meter Tap Roll Box
2 kw coil stove coil,440.00,420.00,681900,,2 kw coil stove coil
2 Leg Bearing Puller,145.00,140.00,,,2 Leg Bearing Puller
2 mtr Gsr pipe,100.00,95.00,35415,2 mtr Geyser pipe,2 mtr Geyser pipe
2 mtr Lpg Hose,155.00,150.00,,,2 mtr Lpg Hose
2 Pin 1 Bearing Puller,0.00,140.00,,,2 Pin 1 Bearing Puller
2.5 Feet Dosa Burner Challenger,750.00,700.00,,2.5 Ft Rv Burner,2.5 Feet Dosa Burner Challenger
2.5 mtr Lpg Hose,195.00,190.00,,,2.5 mtr Lpg Hose
2.5ft Copper Pipe,128.00,123.00,,,2.5ft Copper Pipe
20inc dhara type spun,220.00,200.00,,,20inc dhara type spun
20inc PP spun,130.00,120.00,,,20inc PP spun
210 msp bush,32.00,30.00,,,210 msp bush
210 RG Bush,22.00,20.00,,,210 RG Bush
22mm Plate Set,360.00,340.00,,,22mm Plate Set
24mm saft,6.00,5.50,,,24mm saft
24X27 Tubler,85.00,75.00,16230,,24X27 Tubler
25 to 32 ltr gasket,85.00,80.00,,,25 to 32 ltr gasket
25mm Plate Set,360.00,340.00,,,25mm Plate Set
26mm 4mm saft,8.00,7.00,,,26mm 4mm saft
26mm saft,7.00,6.00,,,26mm saft
285 Socket,40.00,35.00,,,285 Socket
28mm 4mm Saft,0.00,7.50,,,28mm 4mm Saft
28mm saft,7.50,6.50,,,28mm saft
2core Wire 1.5mm heavy,135.00,125.00,,,2core Wire 1.5mm heavy
2ft Copper Pipe,99.00,96.00,,,2ft Copper Pipe
2ft Geyser Pipe KVC Kohinoor,110.00,105.00,30390,2ft Gsr Pipe KVC Kahinoor,2ft Geyser Pipe KVC Kohinoor
2mtr outlet pipe,60.00,55.00,,semi 2 mtr outlet pipe,semi 2 mtr outlet pipe
3 Feet Dosa Burner Challenger,850.00,800.00,,3 Ft Rv Burner,3 Feet Dosa Burner Challenger
3 ft BPBP Srk brass nut,80.00,75.00,,,3 ft BPBP Srk brass nut
3 ft BPBP Srk ms nut,70.00,65.00,,,3 ft BPBP Srk ms nut
3 ft BPCP Srk brass nut,92.00,87.00,,,3 ft BPCP Srk brass nut
3 ft CPCP Srk brass nut,105.00,99.00,,,3 ft CPCP Srk brass nut
3 ft flx BPBP brass nut,87.00,85.00,,3 ft flexable BPBP brass nut,3 ft flexable BPBP brass nut
3 ft Gsr pipe H,86.00,84.00,35355,3 ft Geyser pipe H,3 ft Geyser pipe H
3 ft hy blk BPBP,129.00,121.00,,3 ft Hydrolic black BPBP,3 ft Hydrolic black BPBP
3 ft hy blk BPCP,141.00,133.00,,3 ft hydrolic black BPCP,3 ft hydrolic black BPCP
3 ft hy blk CPCP,153.00,145.00,,3 ft hydrolic black CPCP,3 ft hydrolic black CPCP
3 ft hy o BPBP,129.00,121.00,,3 ft Hydrolic orange BPBP,3 ft Hydrolic orange BPBP
3 ft hy o BPCP,141.00,133.00,,3 ft hydrolic orange BPCP,3 ft hydrolic orange BPCP
3 ft hy o CPCP,153.00,145.00,,3 ft hydrolic orange CPCP,3 ft hydrolic orange CPCP
3 kw coil stove coil,620.00,600.00,682500,,3 kw coil stove coil
3 mtr Lpg Hose,230.00,225.00,,,3 mtr Lpg Hose
3 Pcs Brass Set,40.00,35.00,,,3 Pcs Brass Set
3 Speed Motor,310.00,300.00,,,3 Speed Motor
3 Tek Resistence,10.00,9.00,,,3 Tek Resistence
3.5 mtr Lpg Hose,270.00,265.00,,,3.5 mtr Lpg Hose
30 mtr Lpg hose ms,1650.00,1500.00,,,30 mtr Lpg hose ms
30 mtr Lpg hose vansh,1950.00,1800.00,,,30 mtr Lpg hose vansh
30mm 4mm saft,9.00,7.50,,,30mm 4mm saft
30mm saft,8.00,7.00,,,30mm saft
30X32 Tubler,180.00,180.00,16650,,30X32 Tubler
32mm 4mm saft,9.50,8.00,,,32mm 4mm saft
32mm saft,8.50,7.50,,,32mm saft
34mm 4mm saft,10.00,8.50,,,34mm 4mm saft
34mm saft,9.00,8.00,,,34mm saft
35 to 42 ltr gasket,130.00,125.00,,,35 to 42 ltr gasket
3d L,0.00,75.00,,,3d L
3ft Copper Pipe,143.00,138.00,,,3ft Copper Pipe
3mtr outlet pipe,70.00,65.00,,semi 3 mtr outlet pipe,semi 3 mtr outlet pipe
4 ft BPBP Srk brass nut,90.00,85.00,,,4 ft BPBP Srk brass nut
4 ft BPBP Srk ms nut,80.00,75.00,,,4 ft BPBP Srk ms nut
4 ft BPCP Srk brass nut,102.00,97.00,,,4 ft BPCP Srk brass nut
4 ft CPCP Srk brass nut,115.00,109.00,,,4 ft CPCP Srk brass nut
4 ft flx BPBP brass nut,93.00,91.00,,4 ft flexable BPBP brass nut,4 ft flexable BPBP brass nut
4 ft Gsr pipe H,98.00,94.00,35415,4 ft Geyser pipe H,4 ft Geyser pipe H
4 ft hy blk BPBP,141.00,133.00,,4 ft Hydrolic black BPBP,4 ft Hydrolic black BPBP
4 ft hy blk BPCP,153.00,145.00,,4 ft hydrolic black BPCP,4 ft hydrolic black BPCP
4 ft hy blk CPCP,165.00,157.00,,4 ft hydrolic black CPCP,4 ft hydrolic black CPCP
4 ft hy o BPBP,141.00,133.00,,4 ft Hydrolic orange BPBP,4 ft Hydrolic orange BPBP
4 ft hy o BPCP,153.00,145.00,,4 ft hydrolic orange BPCP,4 ft hydrolic orange BPCP
4 ft hy o CPCP,165.00,157.00,,4 ft hydrolic orange CPCP,4 ft hydrolic orange CPCP
4 mtr Lpg Hose,310.00,300.00,,,4 mtr Lpg Hose
411 Bush Nikam,0.00,20.00,,,411 Bush Nikam
411 Jar Bush Sp,12.00,11.00,,,411 Jar Bush Sp
411 long msp bush,29.00,27.00,,,411 long msp bush
411 long rg bush,20.00,17.50,,411 long real gold bush,411 long real gold bush
411 long spl bush,24.00,22.00,,,411 long spl bush
411 msp bush,22.00,20.00,,,411 msp bush
411 rg bush,16.00,13.50,,411 real gold bush,411 real gold bush
411 S.s Punch,240.00,220.00,,,411 S.s Punch
411 spl bush,19.00,16.50,,,411 spl bush
42mm saft,13.00,12.00,,,42mm saft
4ft Ms Bhatti Pipe,190.00,180.00,,Bhatti 4ft MS Pipe,4ft Ms Bhatti Pipe
4mtr outlet pipe,125.00,110.00,,semi 4 mtr outlet pipe,semi 4 mtr outlet pipe
5 ft BPBP Srk brass nut,100.00,95.00,,,5 ft BPBP Srk brass nut
5 ft BPBP Srk ms nut,90.00,85.00,,,5 ft BPBP Srk ms nut
5 ft BPCP Srk brass nut,112.00,107.00,,,5 ft BPCP Srk brass nut
5 ft CPCP Srk brass nut,125.00,119.00,,,5 ft CPCP Srk brass nut
5 ft flx BPBP brass nut,99.00,97.00,,5 ft flexable BPBP brass nut,5 ft flexable BPBP brass nut
5 ft Gsr pipe H,108.00,104.00,35475,5 ft Geyser pipe H,5 ft Geyser pipe H
5 ft hy blk BPBP,153.00,145.00,,5 ft Hydrolic black BPBP,5 ft Hydrolic black BPBP
5 ft hy blk BPCP,165.00,157.00,,5 ft hydrolic black BPCP,5 ft hydrolic black BPCP
5 ft hy blk CPCP,177.00,169.00,,5 ft hydrolic black CPCP,5 ft hydrolic black CPCP
5 ft hy o BPBP,153.00,145.00,,5 ft Hydrolic orange BPBP,5 ft Hydrolic orange BPBP
5 ft hy o BPCP,165.00,157.00,,5 ft hydrolic orange BPCP,5 ft hydrolic orange BPCP
5 ft hy o CPCP,177.00,169.00,,5 ft hydrolic orange CPCP,5 ft hydrolic orange CPCP
5 mtr Lpg Hose,385.00,375.00,,,5 mtr Lpg Hose
5.5kg copper roll 50ft,400.00,3800.00,916750,,5.5kg copper roll 50ft
50 mtr Lpg hose ms,2750.00,2500.00,,,50 mtr Lpg hose ms
50 mtr Lpg hose vansh,3250.00,3000.00,,,50 mtr Lpg hose vansh
501 3l ot jar vsp,250.00,220.00,,preethi 0.4 ltr 3l ot jar vsp,preethi 0.4 ltr 3l ot jar vsp
501 ot jar pvc lid,200.00,180.00,,preethi 0.4 ltr ot jar +PVC lid,preethi 0.4 ltr ot jar +PVC lid
501 ot jar vsp,210.00,200.00,,preethi 0.4 ltr ot jar vsp,preethi 0.4 ltr ot jar vsp
502 ot jar,340.00,330.00,,preethi zns ot jar,preethi zns ot jar
504  ot jar vsp,300.00,280.00,,preethi 0.5 ltr ot jar vsp,preethi 0.5 ltr ot jar vsp
504 3l ot jar vsp,320.00,300.00,,preethi 0.5 ltr 3l ot jar vsp,preethi 0.5 ltr 3l ot jar vsp
